Description,Measure,Energy
Abiyuch; raw,0.5 cup,79
Acerola juice; raw,1.0 cup,56
Acerola; (west indian cherry); raw,1.0 cup,31
Alcoholic beverage; beer; light,1.0 fl oz,9
Alcoholic beverage; beer; light; BUD LIGHT,1.0 fl oz,9
Alcoholic beverage; beer; light; BUDWEISER SELECT,1.0 fluid ounce,8
Alcoholic beverage; beer; light; MICHELOB ULTRA,1.0 fl oz,8
Alcoholic beverage; beer; regular; all,1.0 fl oz,13
Alcoholic beverage; beer; regular; BUDWEISER,1.0 fl oz,12
Alcoholic beverage; creme de menthe; 72 proof,1.0 fl oz,125
Alcoholic beverage; daiquiri; canned,1.0 fl oz,38
Alcoholic beverage; daiquiri; prepared-from-recipe,1.0 fl oz,56
Alcoholic beverage; distilled; all (gin; rum; vodka; whiskey) 100 proof,1.0 fl oz,82
Alcoholic beverage; distilled; all (gin; rum; vodka; whiskey) 80 proof,1.0 fl oz,64
Alcoholic beverage; distilled; all (gin; rum; vodka; whiskey) 86 proof,1.0 fl oz,70
Alcoholic beverage; distilled; all (gin; rum; vodka; whiskey) 90 proof,1.0 fl oz,73
Alcoholic beverage; distilled; all (gin; rum; vodka; whiskey) 94 proof,1.0 fl oz,76
Alcoholic beverage; distilled; gin; 90 proof,1.0 fl oz,73
Alcoholic beverage; distilled; rum; 80 proof,1.0 fl oz,64
Alcoholic beverage; distilled; vodka; 80 proof,1.0 fl oz,64
Alcoholic beverage; distilled; whiskey; 86 proof,1.0 fl oz,70
Alcoholic beverage; liqueur; coffee with cream; 34 proof,1.0 fl oz,102
Alcoholic beverage; liqueur; coffee; 53 proof,1.0 fl oz,117
Alcoholic beverage; liqueur; coffee; 63 proof,1.0 fl oz,107
Alcoholic beverage; pina colada; canned,1.0 fl oz,77
Alcoholic beverage; pina colada; prepared-from-recipe,1.0 fl oz,55
Alcoholic beverage; rice (sake),1.0 fl oz,39
Alcoholic beverage; tequila sunrise; canned,1.0 fl oz,34
Alcoholic beverage; whiskey sour; canned,1.0 fl oz,37
Alcoholic beverage; whiskey sour; prepared from item 14028,1.0 fl oz,47
Alcoholic beverage; whiskey sour; prepared with water; whiskey and powder mix,1.0 fl oz,48
Alcoholic beverage; wine; cooking,1.0 tsp,2
Alcoholic beverage; wine; dessert; dry,1.0 fl oz,45
Alcoholic beverage; wine; dessert; sweet,1.0 fl oz,47
Alcoholic beverage; wine; light,1.0 fl oz,14
Alcoholic beverage; wine; table; all,1.0 serving 5 fl oz,123
Alcoholic beverage; wine; table; red,1.0 fl oz,25
Alcoholic Beverage; wine; table; red; Barbera,1.0 fl oz,25
Alcoholic Beverage; wine; table; red; Burgundy,1.0 fl oz,25
Alcoholic Beverage; wine; table; red; Cabernet Franc,1.0 fluid ounce,24
Alcoholic Beverage; wine; table; red; Cabernet Sauvignon,1.0 fluid ounce,24
Alcoholic Beverage; wine; table; red; Carignane,1.0 fl oz,22
Alcoholic Beverage; wine; table; red; Claret,1.0 fl oz,24
Alcoholic Beverage; wine; table; red; Gamay,1.0 fl oz,23
Alcoholic Beverage; wine; table; red; Lemberger,1.0 fl oz,24
Alcoholic Beverage; wine; table; red; Merlot,1.0 fl oz,24
Alcoholic Beverage; wine; table; red; Mouvedre,1.0 fl oz,26
Alcoholic Beverage; wine; table; red; Petite Sirah,1.0 fl oz,25
Alcoholic Beverage; wine; table; red; Pinot Noir,1.0 fl oz,24
Alcoholic Beverage; wine; table; red; Sangiovese,1.0 fl oz,25
Alcoholic Beverage; wine; table; red; Syrah,1.0 fl oz,24
Alcoholic Beverage; wine; table; red; Zinfandel,1.0 fl oz,26
Alcoholic beverage; wine; table; white,1.0 fl oz,24
Alcoholic beverage; wine; table; white; Chardonnay,1.0 fl oz,25
Alcoholic beverage; wine; table; white; Chenin Blanc,1.0 fl oz,24
Alcoholic beverage; wine; table; white; Fume Blanc,1.0 fl oz,24
Alcoholic beverage; wine; table; white; Gewurztraminer,1.0 fl oz,24
Alcoholic beverage; wine; table; white; late harvest,1.0 fl oz,34
Alcoholic beverage; wine; table; white; late harvest; Gewurztraminer,1.0 fl oz,33
Alcoholic beverage; wine; table; white; Muller Thurgau,1.0 fl oz,22
Alcoholic beverage; wine; table; white; Muscat,1.0 fl oz,25
Alcoholic beverage; wine; table; white; Pinot Blanc,1.0 fl oz,24
Alcoholic beverage; wine; table; white; Pinot Gris (Grigio),1.0 fl oz,24
Alcoholic beverage; wine; table; white; Riesling,1.0 fl oz,24
Alcoholic beverage; wine; table; white; Sauvignon Blanc,1.0 fl oz,24
Alcoholic beverage; wine; table; white; Semillon,1.0 fl oz,24
